
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
   91000     297.9787    -23298.56    3495.1375   -19803.423 -5.3290705e-14 9.0594199e-14 
   92000    296.46884   -23111.775    3477.4276   -19634.348 -1.2789769e-13 -1.8474111e-13 
   93000    298.28582   -23044.403    3498.7399   -19545.664 1.030287e-13 7.1054274e-14 
   94000    299.22222   -23029.518    3509.7233   -19519.795 1.9895197e-13 -2.8421709e-14 
   95000    301.67005   -22899.728    3538.4351   -19361.293 2.6645353e-14 -6.0396133e-14 
   96000    294.54909   -22935.965    3454.9098   -19481.055 1.8651747e-13 4.4408921e-13 
   97000     303.0438   -22893.139    3554.5485   -19338.591 7.1054274e-14 5.4356519e-13 
   98000    304.87909   -22823.238    3576.0755   -19247.162 6.3948846e-14 -6.750156e-14 
   99000    302.10139   -22743.683    3543.4944   -19200.189 2.1316282e-14 1.5276669e-13 
  100000    294.95903   -22747.529    3459.7182    -19287.81 -1.3500312e-13 2.1316282e-14 
  101000    306.30722   -22699.383    3592.8267   -19106.556 -5.6843419e-14 -2.1316282e-13 
  102000    296.88252   -22621.717    3482.2798   -19139.437 1.8474111e-13 5.6843419e-14 
  103000    290.77889   -22677.873    3410.6873   -19267.185 -1.0658141e-13 -9.9475983e-14 
  104000    304.83836   -22570.328    3575.5977   -18994.731            0 -1.3500312e-13 
  105000    296.62655   -22588.333    3479.2774   -19109.056 -1.8651747e-13 8.5265128e-14 
  106000    297.56753   -22476.148    3490.3146   -18985.833 -3.3395509e-13 2.8421709e-14 
  107000    304.72709   -22470.022    3574.2927    -18895.73 -1.8474111e-13            0 
  108000    297.41743   -22373.433    3488.5541   -18884.879 1.6342483e-13 -2.4513724e-13 
  109000    301.66297   -22307.253     3538.352   -18768.901 1.8474111e-13 1.2079227e-13 
  110000    303.15075   -22260.426     3555.803   -18704.623 -1.6697754e-13 -1.7763568e-15 
  111000    296.31234   -22189.294    3475.5919   -18713.702 -6.9277917e-14 1.7763568e-13 
  112000    296.58537   -22156.861    3478.7944   -18678.066 -1.9539925e-13 1.6164847e-13 
  113000    297.44418   -22113.988    3488.8679    -18625.12 -1.4210855e-14 -7.1054274e-14 
  114000    298.00217   -21961.238    3495.4128   -18465.825 7.8159701e-14 4.4764192e-13 
  115000    296.66288   -22056.906    3479.7035   -18577.202 -2.8421709e-14 -3.0908609e-13 
  116000     294.2352   -21876.615    3451.2281   -18425.387 -2.7711167e-13 -1.4566126e-13 
  117000    301.35201   -21845.797    3534.7046   -18311.092 -1.2789769e-13 -5.8619776e-14 
  118000    302.13406   -21986.707    3543.8776    -18442.83 5.3290705e-15 -4.9737992e-13 
  119000    295.97682   -21736.498    3471.6565   -18264.842 1.6342483e-13 7.1054274e-14 
