
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#FIXES
#----------------------------------------------------

fix 		fxnvt all nvt temp 300.0 300.0 100.0
fix 		fxmom all momentum 1 linear 1 1 1 angular

#----------------------------------------------------
#EQUILIBRATION RUN
#----------------------------------------------------

run 		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4 -> bins = 6 6 2
Memory usage per processor = 6.24631 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
  210000    291.89399     -30545.6    155.74441   -30389.856 -1.7053026e-13 -8.5265128e-14 
  211000     284.1141   -30523.265    151.59334   -30371.672 -1.1368684e-13 4.2632564e-14 
  212000    316.19634   -30551.381     168.7113   -30382.669 -5.6843419e-14 -2.2737368e-13 
  213000    321.75953   -30533.454    171.67962   -30361.775 6.0396133e-14 2.1316282e-13 
  214000    322.24069   -30551.463    171.93635   -30379.527 3.5527137e-14            0 
  215000    313.97385   -30521.318    167.52546   -30353.793 -1.4210855e-14 8.5265128e-14 
  216000    294.99181   -30537.961    157.39731   -30380.563 8.8817842e-14 6.3948846e-14 
  217000    308.51399   -30548.588    164.61226   -30383.976 4.2632564e-14 -9.2370556e-14 
  218000    296.88935   -30524.477    158.40976   -30366.067 1.9895197e-13 -8.5265128e-14 
  219000     319.7933   -30527.815    170.63051   -30357.185 -1.7763568e-14            0 
  220000    296.01929   -30539.424    157.94553   -30381.478 -9.2370556e-14 -1.6342483e-13 
  221000     304.8946    -30537.11    162.68109   -30374.429 -2.8421709e-14 5.6843419e-14 
  222000    316.02448    -30537.42     168.6196   -30368.801            0            0 
  223000    305.40896    -30540.14    162.95553   -30377.184 1.7053026e-13 -5.6843419e-14 
  224000     280.7386   -30531.353    149.79229   -30381.561 -2.8421709e-14 -5.6843419e-14 
  225000    305.58216   -30545.467    163.04794   -30382.419 3.126388e-13 -1.1368684e-13 
  226000    310.43544   -30524.955    165.63749   -30359.317 1.1368684e-13 7.1054274e-15 
  227000    297.42757   -30522.676    158.69694   -30363.979 9.2370556e-14 -2.9842795e-13 
